,ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms,Unnamed: 19
133,e9c6bc57-6982-4be5-916a-f99ca0078029,Treehouses,We Call This The Treehouse,,"['What this place offers', 'Bathroom', 'Hair dryer', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Extra pillows and blankets', 'Iron', 'Entertainment', 'TV', 'Heating and cooling', 'Air conditioning', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Dishwasher', 'Stove', 'Oven', 'Coffee maker', 'Outdoor', 'BBQ grill', 'Parking and facilities', 'Free parking on premises', 'Private pool', 'Private hot tub', 'Single level home', 'No stairs in home', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Boone North Carolina United States,2,1.0,1.0,104,4.3,4.4,4.6,4.8,4.7,4.3,30.0,https://www.airbnb.co.uk/rooms/17169721?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-30&check_out=2022-06-06&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
134,e065db73-f199-4054-a294-1115dc0f6dca,Treehouses,Pioneer Cabins + Luxury Treehouse  with Lakeviews,"A collection of 2 pioneer built cabins (moved and rebuilt at this location in 2003) and a luxury treehouse on 12 woodedprivate and gated acres. The breathtaking lake views await you at once you step out on to the back porch of the main cabin.The property sleeps up to 14 peopleyet each structure is on the smaller side and brimming with character!The spaceThe space.Perfect for couples or families who want to be together but still need some privacy! The large screened in porch has incredible views of the hilltop across the lakeand don’t miss the hot tuboutdoor showerhorseshoe pitand extra large fire pit seating area. The porch bed swing is the most popular place to relax with a good book!.I loved the challenge of renovating these structures and bringing.luxury to a rustic setting! The string lights will guide you down the steps to a fabulous view of the water off the back of the property. Kitchens are fully equipped to cook a great mealand the treehouse boasts a Keurig coffee station with a small fridge for leftovers from the main meal!.Wood burning fireplaces and coziness await! Take a soak in the jacuzzi tub,.then head outside to listen to the sounds of the deep woods and see the sky full of stars….Sligo Marina is 10 minutes away where you can rent a pontoon for the dayand Burgess Falls has the most incredible hiking and waterfalls also 10 minutes away. There are many beautiful nature parks also nearby! Come enjoy the finest of Tennessee treasures…","['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Entertainment', 'TV', 'Family', 'Children’s books and toys', 'Heating and cooling', 'Air conditioning', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Dishwasher', 'Stove', 'Oven', 'Coffee maker', 'Location features', 'Waterfront', 'Right next to a body of water', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'BBQ grill', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Sparta Tennessee United States,14,9.0,4.0,395,4.9,4.9,5.0,5.0,5.0,4.8,37.0,https://www.airbnb.co.uk/rooms/24176540?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-02&check_out=2022-05-09&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,5,
135,dd514e1d-cd09-46fd-b7e5-aed57167eecc,Treehouses,Treehouse perched in the forest,"A treehouse 4 m from the ground where you will sleep in the intoxicating smells of wood. Here nature gives you all its secretswithout electricitywith dry toilets and well watera return to springs away from the world. Village at 1km.NEW !.In winterPhilippe offers extra heating for warm evenings in the hut.The spaceThe space.Philippe and Cécile built this spruce cabinmade of douglas and insulated with strawit offers rustic comfort. The 25-square-metre platform is accessed via a milled staircase. There is everything you need to sleeprest and have fun for children : a sofa bedgamesreadinga small table and two Chilean girls for the terrace ..When handing over the keysa bottle of water4 cupsa garbage bag and a battery lamp will be provided. All you have to do is plan your picnic and bedding kit.Guest access.In a forest of 10,000 m²a zip linegamesbranches to make huts will delight young and old alike.A picnic tablea dry toileta pump on the well for a toilet in the wild.Other things to note.At an altitude of 940 mnights can be cool !.Cécile and Philippe recommend that you come equipped with a warm down.For your winter eveningsif you\d likeyou\ll be offered extra heating for €5 for refuelling.We also rent a lovely ""Ecological House Gorges de l'\Ardèche "" in Chauzon.You can find all of our rentals on airbnb.","['What this place offers', 'Parking and facilities', 'Free parking on premises', 'Services', 'Host greets you', 'Cleaning before checkout', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'This place may not have a smoke detector. Contact the host with any questions.', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance', 'Unavailable: Heating\nHeating']",Apinac Rhône-Alpes France,4,2.0,0.0,40,4.6,4.8,4.8,4.8,4.8,4.6,4.0,https://www.airbnb.co.uk/rooms/11600664?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
136,1de9325b-f830-43fb-9447-754f6f5e1a20,Treehouses,Stay In tree house or set up tent,"Come sleep among the trees and spend your days hunting and/or hiking on more than 130 acres of land!great place to bring your dad to hunt he can keep up fire while you hunt he will see deer guarantee-from glass sliding door great shot he will see more than you jan 20/2020 now making syrup come see tasteThe spaceThe space.Very quite no one around all woods only noise maybe a airplane no roads or house,s within one mile very secluded pets welcome please have crate and pee pads. Do not leave pets unattendedGuest access.For deer hunting price Is 50$ extra per person a day .lots of deerOther things to note.We have two twin beds. There is an out side bath room. If you need shower come to our house! (At this time with the COVID going around,we do not allow taking showers at our house.) We will supply drinking spring water.we have generator for 25$ run time about 7 hr.","['What this place offers', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Extra pillows and blankets', 'Entertainment', 'Sound system', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Coffee maker', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'BBQ grill', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Cleaning before checkout', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo']",French Creek West Virginia United States,4,4.0,0.0,43,5.0,5.0,5.0,5.0,5.0,5.0,24.0,https://www.airbnb.co.uk/rooms/20153699?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-03&check_out=2022-04-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
137,13972121-0601-4a85-9041-768320bd8cc4,Treehouses,Treehouse Village - The Arrow,"""The Arrow is a classichit you in your heartA-frame with the addition of a swinging rope bridge! What more could you want? This treehouse is a favorite and youll see why! It is simpleyet cozy and comfortable. There is a queen-sized bed and a bathroom with a beautiful claw-foot bathtub. This is the perfect retreat for couples! (Not designed for children).""The spaceThe space.The Arrow is a classic A-frame with the addition of a swinging rope bridge. It is simpleyet cozy and comfortable. There is a queen-sized bed and a bathroom with a beautiful claw-foot bathtub.Guest access.You will have the whole treehouse to yourself!Other things to note.Since these are treehousesyou will need to e-sign a liability waiver. We are located in the woods so all animals and insects that come with naturewill be prevalent.Since we are in a rural areawe have limited wifi available. Alsothere is a longhilly driveway. If the weather is roughyou will need to be careful. If you get stuckwe will assist you if we are available. A four-wheel drive vehicles is recommended if there is snow.","['What this place offers', 'Bathroom', 'Bath', 'Shampoo', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Air conditioning', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Kitchen and dining', 'Refrigerator', 'Microwave', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Coffee maker', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Self check-in', 'Lockbox', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Hair dryer\nHair dryer']",Dundee Ohio United States,2,1.0,1.0,122,4.8,5.0,4.9,5.0,5.0,4.9,23.0,https://www.airbnb.co.uk/rooms/40226871?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-27&check_out=2022-07-04&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
138,6d7dca73-a760-4984-a456-8cbbbd24d662,Treehouses,Bear's Pat',Cozy 15 m2 cabin on the edge of the forest perched 5 m on stilts.Located at the Porte des Vosges25 minutes from Epinal40 minutes from Gerardmer Lake and the slopes in winter.Many mountain bike trails in the village of Julien Absalon.Possibility of booking by the week or on dates other than those displayed on request.The spaceThe space.1 double bed on the mezzanine1 convertible bed in the living room. If you want to sleep on the net: provide a sleeping bag.Kitchen with dining arearefrigeratordishwasheroven and microwave.Bathroom with sinkshower and dry toilet.Electric radiators for a warm atmosphere.For cookingyou will have at your disposal organic eggsolive oilvinegarsaltpepperherbs of Provenceflourricepasta.Breakfast is not served but you will find for your stayhomemade jam1/2 liter of milk as well as a serving of butter and a small brick of orange juice per person.Coffee pods and tea will also be available in number.No wifibut very good 4G reception for SFRgood for Orange.For reservations of 2 nights in winter we provide two bobs and will give you the location a toboggan spot 30 minutes away.,"['What this place offers', 'Bathroom', 'Hair dryer', 'gel douche bio body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Heating and cooling', 'Radiant heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Dishwasher', 'Mini four 19 l oven', 'Coffee maker: espresso machine', 'Wine glasses', 'Toaster', 'Baking sheet', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Private garden', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Services', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Raon-aux-Bois Grand Est France,4,2.0,1.0,77,5.0,5.0,5.0,4.9,5.0,4.9,32.0,https://www.airbnb.co.uk/rooms/50186445?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-30&check_out=2022-06-06&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
139,350fa320-bfd5-410f-94ea-07c93c21b09f,Treehouses,La Cabins de Luca,The hut perched in the 21st century in the paradise of the Ardèche . In a space of one hectareyou have an appointment with an exceptional place. Equipped with hottub and sauna heated by woodyou will love the magnificent terraces hammocketc..The spaceThe space.Hottub (= Nordic bath) and private saunaheated by wood stoves.The operation of the hottub and sauna is your responsibility. It takes between 4 and 6 hours of heating for the 1500 litres of water in the hottub and 15 to 20 minutes for the sauna.Other things to note.Rental from 2 nights. July and August from a week.Barbecues have been prohibited since 2010 by the Prefect of the Ardeche.,"['What this place offers', 'Bathroom', 'Hair dryer', 'Cleaning products', 'Outdoor shower', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Heating', 'Home safety', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Oven', 'Kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Coffee', 'Dining table', 'Outdoor', 'Private patio or balcony', 'Private garden', 'An open space on the property usually covered in grass', 'Hammock', 'Parking and facilities', 'Free parking on premises', 'Private hot tub', 'Private sauna', 'Services', 'Breakfast', 'Breakfast is provided', 'Host greets you', 'Cleaning before checkout', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'This place may not have a smoke detector. Contact the host with any questions.', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Vinezac Rhône-Alpes France,2,1.0,1.0,92,4.9,4.8,4.8,4.9,4.9,4.8,32.0,https://www.airbnb.co.uk/rooms/5216360?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-26&check_out=2022-07-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
140,9c3e1fb2-50ad-41af-8ece-5b59ca527d1d,Treehouses,La Cabane de Lyns,For an overnight staya weekend or a weekcome and recharge your batteries in a warm wooden huton stilts and all comfort !.You will enjoy a para-hotel servicethe bed (queen size) is madetowels are providedcleaning and disinfection of the room are included.The large bathtub promises you moments of relaxation.The kitchen area allows you to be independent.I propose you the classic or customizable breakfast (price extra).Other things to note.Before your stayyou can order me additional services (cheese plattersurprisesdecorationbouquets of flowersballoons..) as well as your classic or personalized breakfast!.Rate based on the chosen formulas.,"['What this place offers', 'Bathroom', 'Bath', 'Hair dryer', 'Cleaning products', 'Body soap', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Room-darkening shades', 'Clothes drying rack', 'Clothes storage', 'Entertainment', 'Books and reading material', 'Family', 'Travel cot', 'Baby bath', 'Children’s tableware', 'Window guards', 'Heating and cooling', 'Air conditioning', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Freezer', 'Kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Host greets you', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Saint-Diéry Auvergne-Rhône-Alpes France,2,1.0,1.0,86,5.0,5.0,5.0,4.7,5.0,4.8,42.0,https://www.airbnb.co.uk/rooms/47022723?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-27&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
141,32418ef3-0044-428f-a324-ada13be27a31,Treehouses,Icaco Treehouse:Rustic tiny treehouse by the river,"Icaco Treehouse is a tiny gem hidden away in the mountains of Rio Grandejust 25 minutes drive from the SJU airport and below the rainforest. The name comes from the first indigenous living heremeaning ""God of the mountain""; who is said to protect us from natural disasters. It is nettled by the side of a peaceful arterial stream of the Espíritu Santo riveron a 9-acre farm with private entrance. A perfect place to relaxdisconnect from the craziness out there and reconnect with nature.The space""The space.Because of the Covid situationunfortunatelyright now Im not provided sheetsblanketsnor pillows for safety matters. AlsoI dont host pets! I hope that you can understand meand come to my place because youll have the most amazing nature experience in the Caribbean. Youll love the beauty of the surrounds: including a rustic tiny house that comfortably fits 4 and provides basic amenities for a comfortable stay with a view of the Yunque National Rainforest. The first flooris fitted with a small electric stove and water reservoir hand-pumped from the cristal clear stream connected to the sink and the shower below. Alsothere is a basic bathroom with toilet paper.The friendlycalm Espíritu Santo river lays at the doorstep. With its natural poolsits the perfect place to chill with a beer and enjoy its shallow waters. Alsoyoull be able to walk through a trail where youll see many beautiful trees and birds.Please be gentle with windows and mahogany surfaces. Take good care of this gemso others can enjoy it as much as youand youll return. This is a property with full contact with nature. So insectslizards and non-poisonous snakes bound around. The river is easily hike-ablebut enjoy it at your own risk and be aware of rising water levels.""","['What this place offers', 'Scenic views', 'Mountain view', 'River view', 'Bedroom and laundry', 'Safe', 'Mosquito net', 'Home safety', 'Fire extinguisher', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Stove', 'Coffee maker', 'Dining table', 'Location features', 'Lake access', 'Guests can get to a lake using a path or dock', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Self check-in', 'Lockbox', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'This place may not have a smoke detector. Contact the host with any questions.', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Heating\nHeating']",Jiménez Río Grande Puerto Rico,4,4.0,1.0,92,4.5,4.5,4.5,4.8,4.4,4.2,20.0,https://www.airbnb.co.uk/rooms/47412204?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-03&check_out=2022-04-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
142,c4e32eed-c3cd-4d4a-831b-a8e7e720b645,Treehouses,Tradewinds Treehouse,The Trade Winds Treehouse is simply our most luxurious getaway in the forest. Two twin treehouses perch side by side like owls roosting on a limb. It features full electricityrunning waterheata private bathhousea slideand even a hot tub!The spaceThe space.*Important*.Access to this cabin requires driving up a gravel road with various steep sections. Most vehicles can make itbut we do recommend 4WD and/or high clearance. If your vehicle cannot make itwe can give you and your things a ride up.Full Bathroom: featuring tile showerflush toilethand sinktowel hooksbath exhaust fan and more! Approximately 50 feet away from the two tree houses on a gravel path with night lighting. The bathhouse is a log cabinwhich includes a living room arealoft with a full size bedplus a comfy couch& bar sink(sleeps 3 total)Full Compact Kitchen: featuring 3 burner stovehalf size fridgecookwareeating utensilsdish rackkichten sinkrolling island with integrated cutting boardkitchen exhaust fanand ample lighting. Interior seating in the kitchen is limitedbut can accomodate 6 people with additional outside seating available.Two treehouses: one master quarters with a queen mattress downstairs plus a sleeping loft for 1 additional person (sleeps 3 total)and the other features a kitchen downstairscompact futon downstairs and sleeping loft with a full size mattress upstairs (sleeps 3 total)Full electricityplumbingand flush toiletSPRING-FED HOT TUB! Enjoy in the springsummer and fall! We need to disconnect it when temperatures are below freezing. Amazing all natural location.Ample parking for 3 or more cars.Easy access to exceptional hiking trails and climbing areasincluding several within walking distance.,"['What this place offers', 'Bathroom', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Air conditioning', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Stanton Kentucky United States,8,5.0,1.0,510,4.7,4.8,4.9,4.9,4.9,4.5,14.0,https://www.airbnb.co.uk/rooms/25002039?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-22&check_out=2022-04-29&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,3,
143,cd2a3dbf-f523-4d4f-ac34-eac8c12f97b2,Treehouses,Treehouse Algarve,Pure relaxation in the middle of nature in a beautiful valley in the Eastern Algarve between São Brás de Alportel and Tavira.You have an open living and sleeping areaa kitchenbathroom with walkin showera separate compost toilet and a large sunny terrace. In the garden barbecuehammocks and a small pool to cool down.The spaceThe space.It is equipped with a double bed (with mosquito net)oven with comfortable seating area. Kitchen with gas stove.Guest access.In the garden there is a barbecuehammocks and a small pool to cool down.Other things to note.We live here Off the Gridsolar powerwater from our own well. There is a compost toilet - save water - save the planet :)Licence numberLicence number.Exempt,"['What this place offers', 'Scenic views', 'Garden view', 'Mountain view', 'Bathroom', 'Hair dryer', 'Cleaning products', 'Body soap', 'Hot water', 'Bedroom and laundry', 'Free washer – In unit', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Room-darkening shades', 'Clothes drying rack', 'Mosquito net', 'Clothes storage: chest of drawers', 'Entertainment', 'Books and reading material', 'Heating and cooling', 'Indoor fireplace: wood-burning', 'Portable fans', 'Home safety', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Gas cooker', 'Kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Hammock', 'Outdoor dining area', 'BBQ grill: gas', 'Parking and facilities', 'Free parking on premises', 'Private outdoor pool', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Self check-in', 'Lockbox', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'There is no smoke alarm on the property.', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Heating\nHeating']",Faro Portugal,2,1.0,1.0,68,4.9,4.9,5.0,4.9,5.0,4.9,48.0,https://www.airbnb.co.uk/rooms/33575755?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-22&check_out=2022-07-29&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
